Pays;Biscuits (en g);Jus d'orange (en cl);Yaourt (en g)
Autriche;11,19047619;14,92517007;45,35
Belgique;17,88964355;18,51885605;33,95
Allemagne;19,35411255;16,32353067;47,95533536
Bulgarie;18,70833333;13,79901961;71,69354839
Danemark;3,25331058;8,64162026;38,04914574
Espagne;26,7996633;15,8773348;94,44158076
Finlande;6,578218905;9,3950199;50,25832616
France;17,34869755;9,224154018;44,17
Royaume-Uni;14,01615885;12,14616898;29,56032609
Grèce;24,01;16,74593496;60,27349159
Italie;23,97380952;11,33928571;42,32
Pays-Bas;15,19326484;14,85678778;131,9988284
Suède;7,632653061;7,959212089;15,35555556
