Pays;En nergie (kc);En sucres (g);En graisses (g)
Autriche;163,2653553;22,77371794;4,076239736
Belgique;203,044788;27,24091492;5,38267574
Allemagne;208,4108709;27,090889;6,08694966
Bulgarie;217,9643365;26,94793711;6,559730771
Danemark;88,80237592;13,35520964;1,927212697
Espagne;287,1585891;34,00691767;9,119194754
Finlande;119,2463617;16,45972796;3,056835837
France;163,7093824;19,22325817;5,420652044
Royaume-Uni;150,747981;19,38801037;4,269269604
Grce;247,8460689;30,33021851;7,528596202
Italie;207,2161088;23,25062399;6,955148622
Pays-Bas;257,3674998;33,12684648;7,414104178
Sude;87,65029273;11,76947512;2,321349143
