brands_tags,groups,y,x,size
"Nutella","Leader",31.1,55.4,10
"Franprix","Marques distributeur",32,54,10
"Marque Repere","Marques distributeur",29,58,10
"Cora","Marques distributeur",33.5,52.9,10
"Monoprix","Marques distributeur",32,54,10
"Leader Price","Marques distributeur",32,54,10
"Dia","Marques distributeur",31.6,52.8,10
"Auchan","Marques distributeur",31.2,55.5,10
"Casino","Marques distributeur",32,54,10
"U Saveurs","Marques distributeur",47.8,31.5,10
"Netto","Marques distributeur",33.2,57.7,10
"Gerble","Marques bio",6.6,6.1,10
"Bjorg","Marques bio",35.9,40.4,10
"Rigoni Di Asiago","Marques bio",30,51,10
"Bovetti","Marques bio",50,33,10
"Lea Nature","Marques bio",35.2,39.7,10
"Ivoria","Marques bio",31.4,56.3,10
"Mamie Bio","Marques bio",34.6,51.6,10
"Jean Herve","Marques bio",43.9,29.1,10
"Carrefour Bio","Marques bio",29,59,10
"Ti Bio","Marques bio",42.3,29.1,10
"Perl Amande","Marques bio",31.9,45.5,10
"Newtree","Marques bio",15.8,32.4,10
"Biocoop","Marques bio",50,25,10
"Bonneterre","Marques bio",37,51,10
"Top Budget","Premiers prix",32.2,55.4,10
"Choco Nussa","Premiers prix",29.6,56,10
"Raffole","Autres marques",6.1,44,10
"Nutabreizh,Terre Et Soleil","Autres marques",33,24,10
"Winny","Autres marques",35,58,10
"Bridelice","Autres marques",20,31,10
"Tartichoc","Autres marques",29.6,56,10
