brands_tags,y,x,groups,size
"Mikado",22.66667,37.58333,"Leaders",1
"Michel Et Augustin",25.57778,31.88,"Leaders",1
"Whaou",22,44,"Leaders",1
"Belvita",15.875,25,"Leaders",1
"Mars",26.3,36.8,"Leaders",1
"Cadbury",21.46,27.8,"Leaders",1
"Kellogg S",12,24.5,"Leaders",1
"Oreo",20.85714,38.55714,"Leaders",1
"Brun",26,39,"Leaders",1
"Bn",19.86923,33.1,"Leaders",1
"Cote D Or",28.33333,39.66667,"Leaders",1
"Special K",9,28,"Leaders",1
"Tresor,Kellogg S",15,33,"Leaders",1
"Twix",25.5,37.1,"Leaders",1
"Lu",22.49444,33.51887,"Leaders",1
"Prince",17.6,33,"Leaders",1
"St Michel",24.4,29.2,"Leaders",1
"Milka",24.28572,35.78571,"Leaders",1
"Chabrior",23.7625,33.725,"Leaders",1
"Lotus",22.5,29.85,"Leaders",1
"Delacre",21.85,39.92,"Leaders",1
"Mere Poulard",23.6,39.75,"Leaders",1
"Pepperidge Farm",25.8,37.85,"Leaders",1
"Ferrero",35.45,43.55,"Leaders",1
"Bonne Maman",24.875,35,"Leaders",1
"Pepito",20.66667,34.66667,"Leaders",1
"Cora",24.58667,33.69333,"Marques distributeur",1
"Dia",25.7,35.22222,"Marques distributeur",1
"Leader Price",23.28095,36.06875,"Marques distributeur",1
"Netto",22.93333,33.41667,"Marques distributeur",1
"Franprix",26.33333,37.03333,"Marques distributeur",1
"Carrefour",25.14815,34.2963,"Marques distributeur",1
"U",24.95625,35.49333,"Marques distributeur",1
"Marque Repere",23.22692,33.2,"Marques distributeur",1
"Carrefour Discount",22,38,"Marques distributeur",1
"Casino",24.2625,35,"Marques distributeur",1
"Auchan",23.53572,33.76667,"Marques distributeur",1
"Monoprix",23,35.15385,"Marques distributeur",1
"Bioshok,Markal",25.1,28.2,"Marques bio",1
"Bjorg",23.41429,26.55714,"Marques bio",1
"Bio La Vie",17.1,27.4,"Marques bio",1
"Bonneterre",24,27,"Marques bio",1
"Monoprix Bio",20.5,29.5,"Marques bio",1
"Kalibio",26,29.3,"Marques bio",1
"Biocoop",24.4,34.9,"Marques bio",1
"Marque Repere Bio",26.25,28.5,"Marques bio",1
"Lea Nature",22.68667,9.72,"Marques bio",1
"Carrefour Bio",26.5,30.5,"Marques bio",1
"U Bio",22.6,26.95,"Marques bio",1
"Nature Bio",24.95,30.35,"Marques bio",1
"Gerble",19.54545,21.70909,"Marques bio",1
"Cereal Bio",23.45714,31.92857,"Marques bio",1
"Eco",17.4,44,"Premiers prix",1
"Petit Ecolier",24.55,39.55,"Premiers prix",1
"Tous Les Jours",28,28,"Premiers prix",1
"Filet Bleu",23.4,38.1,"Premiers prix",1
"Choco Nussa",21.9,37.6,"Premiers prix",1
"Mes P Tits Secrets",25.7,32.8,"Premiers prix",1
"Winny",20.975,36.075,"Premiers prix",1
"Sondey",25.195,31.45,"Premiers prix",1
"Schar",28,21,"Autres marques",1
"Serebis",31.4,30.3,"Autres marques",1
"Desobry",30,47.95,"Autres marques",1
"Okay",23.6,31.5,"Autres marques",1
"Le Mutant",25.1,26,"Autres marques",1
"Mc Vitie",23.4,29.2,"Autres marques",1
"Delhaize",25.3,38.2,"Autres marques",1
"Chojecki",24,31,"Autres marques",1
"Gecchele",19.87,36.59,"Autres marques",1
"",24.1,34.75,"Autres marques",1
"Maison Fossier",13,28,"Autres marques",1
"Piselli",12.6,39.2,"Autres marques",1
"Banania",12,37,"Autres marques",1
"Hille",12.8,32.7,"Autres marques",1
"Fleurs Des Bles",24,33,"Autres marques",1
"Mcennedy",25.93333,33.46667,"Autres marques",1
"Royal Dansk",24.2,36.4,"Autres marques",1
"Les Malins Plaisirs",23.95,33.5,"Autres marques",1
"Barilla",26.05,21.45,"Autres marques",1
"Gdb",21,35,"Autres marques",1
"Gayelord Hauser",21.9,1.6,"Autres marques",1
"Michel Chatillon",30,7.69,"Autres marques",1
"Biscuitier Des Flandres,Eugene Blond",14.9,30.5,"Autres marques",1
"Mcvitie S",21.7,31.8,"Autres marques",1
"Jules Destrooper",27,40,"Autres marques",1
"Gerlinea",15.15,26,"Autres marques",1
"Brink",12.8,32.7,"Autres marques",1
"Balisto",26.1,42.6,"Autres marques",1
"Mmm",36,34,"Autres marques",1
"Alsa",28,29,"Autres marques",1
"Walkers",27.6,25.7,"Autres marques",1
"Griesson",29,41,"Autres marques",1
"Albert Menes",24,24,"Autres marques",1
"Biscuiterie De L Abbaye",26,31,"Autres marques",1
"L M R Biscuits",18,34,"Autres marques",1
"Merba",27.1,34.6,"Autres marques",1
"Armor Delices",27.7,24.7,"Autres marques",1
"Allergo",25,22,"Autres marques",1
"Aptonia",24,27,"Autres marques",1
"Traou Mad De Pont Aven",27.3,21.8,"Autres marques",1
"Evernat",20,27,"Autres marques",1
"Lightbody",18.8,40.9,"Autres marques",1
"Deciles De Kerloch",22,32.5,"Autres marques",1
"Grand Jury",27,33,"Autres marques",1
"Baiocchi",26,21.5,"Autres marques",1
"Le Moulin Du Pivert",25.9,28.4,"Autres marques",1
"Loacker",35,31,"Autres marques",1
"Fox S",22,34,"Autres marques",1
"Dean S",30.1,25.3,"Autres marques",1
"Delicia",22.1,37,"Autres marques",1
