brands_tags,groups,y,x,size
"Pampryl","Leader",25,9.1,10
"Innocent","Leader",21.7,8.1,10
"Joker","Leader",45,8.5,10
"Tropicana","Leader",32.2,10,10
"Minute Maid","Leader",25,10.1,10
"Leader Price","Marques distributeur",22.5,9,10
"U","Marques distributeur",29.2,10.2,10
"Cora","Marques distributeur",26,9.3,10
"Auchan","Marques distributeur",23,9.9,10
"Monoprix Ptits Prix","Marques distributeur",26.8,9.8,10
"Marque Repere","Marques distributeur",23.8,9.7,10
"Carrefour","Marques distributeur",21.9,9.6,10
"Casino","Marques distributeur",23.8,10.1,10
"Dia","Marques distributeur",22,9.7,10
"Netto","Marques distributeur",20,9.5,10
"Paquito","Marques distributeur",20,10.4,10
"Marque Repere Bio","Marques bio",39,10,10
"Casino Bio","Marques bio",23,9.8,10
"U Bio","Marques bio",20,10.4,10
"Auchan Bio","Marques bio",20,10.2,10
"Le Prix Gagnant","Premiers prix",16,10.3,10
"Vitafit","Premiers prix",30,9,10
"Goldhorn","Premiers prix",40,8.8,10
"Lidl","Premiers prix",20,9.2,10
"Brici","Autres marques",20,9,10
"New Covent Garden,New Covent Garden Food Company","Autres marques",49,9,10
"Pressade","Autres marques",20,8.7,10
"Pur Fruit","Autres marques",28.5,9.6,10
"Grand Jury","Autres marques",27.5,8.7,10
"Diego","Autres marques",27.5,9,10
"1 2 3 Fruits","Autres marques",12,11,10
"Extra Fruit","Autres marques",30,9.3,10
"Top Budget","Autres marques",20,10,10
"Royal","Autres marques",25,9.2,10
"Plein Fruit","Autres marques",36,8.1,10
