Pays;En énergie (kc);En sucres (g);En graisses (g)
Autriche;187,763684;34,72626803;5,281265113
Belgique;194,5879441;34,40646974;5,01812646
Allemagne;171,0078726;34,67465153;4,327343819
Bulgarie;213,3986004;42,91627036;6,384394415
Danemark;88,43458607;21,96085342;1,927212697
Espagne;287,7441643;55,48648978;9,204153193
Finlande;128,0574634;28,45349179;3,502236097
France;153,5494256;28,02326764;4,959516129
Royaume-Uni;135,2456469;25,07159852;3,557107013
Grèce;219,2271519;42,10386306;6,207833438
Italie;222,8468043;33,93284459;7,744421352
Pays-Bas;242,1125343;61,96941501;6,734179866
Suède;87,28727445;15,24246876;2,321349143
