Pays;Biscuits (g);Jus d'orange (cl);Yaourt (g)
Autriche;16,31151667;14,92517007;45,35
Belgique;16,34040512;18,51885605;33,95
Allemagne;11,92112264;15,48783889;47,95533536
Bulgarie;17,9632;13,79901961;71,69354839
Danemark;3,25331058;8,64162026;38,04914574
Espagne;27,16071429;15,8773348;94,44158076
Finlande;8,471052704;9,3950199;50,25832616
France;15,41986896;8,649085865;44,17
Royaume-Uni;10,98965541;12,14616898;29,56032609
Grèce;18,39710611;16,74593496;60,27349159
Italie;27,32801075;11,33928571;42,32
Pays-Bas;12,3069089;14,79824637;131,9988284
Suède;7,632653061;7,959212089;15,35555556
